cls,file,cx,cy,side,found,region_px
Bonafide,00962.png,509.6,576.8,644.8,True,838
Bonafide,00998.png,516.0,556.0,702.4,True,913
Bonafide,01012.png,510.4,552.0,608.0,True,790
Bonafide,08794.png,512.0,555.2,652.8,True,848
Bonafide,10673.png,509.6,568.8,600.0,True,780
Bonafide,10684.png,503.2,554.4,699.2,True,908
Bonafide,10696.png,511.2,557.6,744.0,True,967
Bonafide,10712.png,508.0,572.0,699.2,True,908
Bonafide,10728.png,492.8,568.0,694.4,True,902
Bonafide,10741.png,510.4,555.2,640.0,True,832
Bonafide,10744.png,504.0,574.4,704.0,True,915
Bonafide,10881.png,485.6,530.4,536.0,True,696
Bonafide,10889.png,524.0,560.8,635.2,True,825
Bonafide,10954.png,515.2,534.4,633.6,True,823
Bonafide,10960.png,516.0,544.8,651.2,True,846
Bonafide,10970.png,508.0,570.4,641.6,True,834
Bonafide,10972.png,507.2,566.4,608.0,True,790
Bonafide,10992.png,534.4,560.0,604.8,True,786
Bonafide,11040.png,516.0,578.4,686.4,True,892
Bonafide,11053.png,516.0,575.2,692.8,True,900
Bonafide,11099.png,524.0,549.6,603.2,True,784
Bonafide,11117.png,519.2,575.2,641.6,True,834
Bonafide,11130.png,524.8,560.0,662.4,True,861
Bonafide,11154.png,502.4,545.6,614.4,True,798
Bonafide,11166.png,516.8,547.2,633.6,True,823
Bonafide,11174.png,513.6,553.6,646.4,True,840
Bonafide,11185.png,500.0,557.6,648.0,True,842
Bonafide,11193.png,508.0,559.2,712.0,True,925
Bonafide,11196.png,508.0,549.6,718.4,True,933
Bonafide,11233.png,528.8,564.0,734.4,True,954
Bonafide,11237.png,519.2,562.4,660.8,True,859
Bonafide,11261.png,530.4,573.6,657.6,True,854
Bonafide,11280.png,542.4,550.4,627.2,True,815
Bonafide,11308.png,500.8,579.2,630.4,True,819
Bonafide,11311.png,500.8,566.4,668.8,True,869
Bonafide,11312.png,512.0,560.0,742.4,True,965
Bonafide,11322.png,511.2,551.2,622.4,True,809
Bonafide,11326.png,507.2,552.0,780.8,True,1015
Bonafide,11358.png,526.4,560.0,662.4,True,861
Bonafide,11359.png,524.8,561.6,662.4,True,861
Bonafide,11373.png,516.0,551.2,641.6,True,834
Bonafide,11413.png,508.8,568.0,675.2,True,877
Bonafide,11443.png,501.6,549.6,628.8,True,817
Bonafide,11463.png,520.0,560.0,694.4,True,902
Bonafide,11483.png,508.8,566.4,630.4,True,819
Bonafide,11506.png,508.8,566.4,748.8,True,973
Bonafide,11507.png,509.6,548.0,657.6,True,854
Bonafide,11513.png,506.4,557.6,683.2,True,888
Bonafide,11519.png,510.4,587.2,569.6,True,740
Bonafide,11541.png,498.4,565.6,648.0,True,842
Bonafide,11567.png,515.2,563.2,704.0,True,915
Bonafide,11634.png,512.8,556.0,692.8,True,900
Bonafide,11644.png,507.2,577.6,611.2,True,794
Bonafide,11728.png,519.2,565.6,683.2,True,888
Bonafide,11781.png,512.8,557.6,683.2,True,888
Bonafide,11786.png,534.4,571.2,579.2,True,752
Bonafide,11807.png,517.6,554.4,670.4,True,871
Bonafide,11810.png,508.0,562.4,702.4,True,913
Bonafide,11838.png,522.4,567.2,718.4,True,933
Bonafide,11886.png,511.2,565.6,628.8,True,817
Bonafide,11953.png,516.8,552.0,633.6,True,823
Bonafide,11957.png,526.4,571.2,544.0,True,707
Bonafide,11981.png,513.6,560.0,668.8,True,869
Bonafide,11999.png,512.0,512.0,640.0,False,832
Bonafide,12009.png,516.8,566.4,640.0,True,832
Bonafide,12022.png,543.2,557.6,744.0,True,967
Bonafide,12024.png,512.8,552.8,680.0,True,884
Bonafide,12030.png,505.6,558.4,636.8,True,827
Bonafide,12062.png,520.8,544.8,696.0,True,904
Bonafide,12103.png,515.2,561.6,704.0,True,915
Bonafide,12122.png,489.6,553.6,691.2,True,898
Bonafide,12145.png,514.4,559.2,763.2,True,992
Bonafide,12163.png,519.2,557.6,683.2,True,888
Bonafide,12174.png,505.6,553.6,694.4,True,902
Bonafide,12188.png,521.6,560.0,662.4,True,861
Bonafide,12189.png,507.2,558.4,675.2,True,877
Bonafide,12207.png,514.4,559.2,638.4,True,829
Bonafide,12214.png,516.8,558.4,662.4,True,861
Bonafide,12249.png,500.8,569.6,707.2,True,919
Bonafide,12269.png,516.8,553.6,710.4,True,923
Bonafide,12278.png,504.0,563.2,713.6,True,927
Bonafide,12302.png,518.4,553.6,732.8,True,952
Bonafide,12320.png,504.0,556.8,595.2,True,773
Bonafide,12332.png,526.4,568.0,656.0,True,852
Bonafide,12349.png,508.8,558.4,704.0,True,915
Bonafide,12357.png,510.4,556.8,643.2,True,836
Bonafide,12368.png,509.6,575.2,680.0,True,884
Bonafide,12383.png,519.2,559.2,737.6,True,958
Bonafide,12385.png,502.4,547.2,697.6,True,906
Bonafide,12412.png,508.8,558.4,643.2,True,836
Bonafide,12444.png,520.0,577.6,726.4,True,944
Bonafide,12461.png,509.6,557.6,689.6,True,896
Bonafide,12465.png,528.8,560.8,609.6,True,792
Bonafide,12471.png,508.8,556.8,675.2,True,877
Bonafide,12481.png,500.0,589.6,552.0,True,717
Bonafide,12482.png,513.6,572.8,675.2,True,877
Bonafide,12533.png,500.8,537.6,627.2,True,815
Bonafide,12562.png,501.6,554.4,651.2,True,846
Bonafide,12569.png,522.4,549.6,715.2,True,929
Bonafide,12605.png,522.4,541.6,750.4,True,975
Bonafide,12616.png,511.2,546.4,667.2,True,867
Bonafide,12702.png,509.6,557.6,657.6,True,854
Bonafide,12705.png,520.0,560.0,668.8,True,869
Bonafide,12714.png,520.8,551.2,660.8,True,859
Bonafide,12735.png,517.6,541.6,664.0,True,863
Bonafide,12770.png,504.8,560.8,628.8,True,817
Bonafide,12818.png,520.0,563.2,688.0,True,894
Bonafide,12871.png,511.2,556.0,612.8,True,796
Bonafide,12872.png,512.0,568.0,716.8,True,931
Bonafide,12880.png,508.8,564.8,640.0,True,832
Bonafide,12934.png,506.4,567.2,651.2,True,846
Bonafide,12979.png,509.6,562.4,657.6,True,854
Bonafide,12994.png,527.2,554.4,632.0,True,821
Bonafide,12998.png,522.4,575.2,648.0,True,842
Bonafide,13013.png,516.8,566.4,640.0,True,832
Bonafide,13037.png,522.4,570.4,718.4,True,933
Bonafide,13045.png,528.0,574.4,675.2,True,877
Bonafide,13046.png,512.0,563.2,729.6,True,948
Bonafide,13079.png,512.8,567.2,587.2,True,763
Bonafide,13121.png,514.4,548.0,680.0,True,884
Bonafide,13124.png,521.6,569.6,672.0,True,873
Bonafide,13152.png,517.6,573.6,747.2,True,971
Bonafide,13157.png,498.4,551.2,660.8,True,859
Bonafide,13247.png,536.0,566.4,729.6,True,948
Bonafide,13257.png,512.8,541.6,705.6,True,917
Bonafide,13328.png,516.0,554.4,740.8,True,963
Bonafide,13344.png,514.4,556.0,606.4,True,788
Bonafide,13345.png,515.2,577.6,665.6,True,865
Bonafide,13355.png,516.0,570.4,673.6,True,875
Bonafide,13357.png,499.2,563.2,662.4,True,861
Bonafide,13363.png,516.8,556.8,649.6,True,844
Bonafide,13382.png,508.8,552.0,617.6,True,802
Bonafide,13386.png,515.2,552.0,704.0,True,915
Bonafide,13388.png,505.6,574.4,662.4,True,861
Bonafide,13396.png,512.0,566.4,736.0,True,956
Bonafide,13410.png,508.8,560.0,672.0,True,873
Bonafide,13414.png,507.2,574.4,720.0,True,936
Bonafide,13461.png,509.6,557.6,670.4,True,871
Bonafide,13478.png,511.2,573.6,667.2,True,867
Bonafide,13497.png,515.2,558.4,672.0,True,873
Bonafide,13502.png,516.8,590.4,627.2,True,815
Bonafide,13530.png,503.2,557.6,683.2,True,888
Bonafide,13537.png,526.4,566.4,643.2,True,836
Bonafide,13562.png,520.0,542.4,694.4,True,902
Bonafide,13568.png,512.0,560.0,684.8,True,890
Bonafide,13582.png,513.6,558.4,691.2,True,898
Bonafide,13583.png,495.2,559.2,715.2,True,929
Bonafide,13597.png,523.2,536.0,700.8,True,911
Bonafide,13610.png,506.4,552.8,670.4,True,871
Bonafide,13620.png,518.4,572.8,716.8,True,931
Bonafide,13638.png,505.6,496.0,806.4,True,1024
Bonafide,13640.png,514.4,570.4,628.8,True,817
Bonafide,13695.png,505.6,566.4,659.2,True,856
Bonafide,13715.png,511.2,552.8,712.0,True,925
Bonafide,13719.png,508.0,559.2,712.0,True,925
Bonafide,13753.png,516.0,581.6,670.4,True,871
Bonafide,13777.png,518.4,576.0,624.0,True,811
Bonafide,13836.png,507.2,560.0,700.8,True,911
Bonafide,13871.png,517.6,570.4,788.8,True,1024
Bonafide,13890.png,505.6,585.6,649.6,True,844
Bonafide,13925.png,513.6,569.6,630.4,True,819
Bonafide,13993.png,518.4,556.8,627.2,True,815
Bonafide,13999.png,514.4,548.0,644.8,True,838
Bonafide,14019.png,517.6,565.6,651.2,True,846
Bonafide,14036.png,512.8,562.4,638.4,True,829
Bonafide,14055.png,508.8,566.4,636.8,True,827
Bonafide,14062.png,500.8,579.2,710.4,True,923
Bonafide,14066.png,513.6,566.4,579.2,True,752
Bonafide,14067.png,515.2,577.6,643.2,True,836
Bonafide,14083.png,524.8,580.8,611.2,True,794
Bonafide,14088.png,502.4,568.0,688.0,True,894
Bonafide,14164.png,509.6,564.0,705.6,True,917
Bonafide,14201.png,506.4,548.0,667.2,True,867
Bonafide,14215.png,515.2,566.4,691.2,True,898
Bonafide,14220.png,524.0,554.4,702.4,True,913
Bonafide,14224.png,522.4,560.8,696.0,True,904
Bonafide,14261.png,519.2,554.4,644.8,True,838
Bonafide,14285.png,496.8,560.8,705.6,True,917
Bonafide,14392.png,509.6,604.0,692.8,True,900
Bonafide,14394.png,516.8,555.2,662.4,True,861
Bonafide,14397.png,504.8,565.6,622.4,True,809
Bonafide,14407.png,505.6,571.2,707.2,True,919
Bonafide,14413.png,520.8,562.4,766.4,True,996
Bonafide,14416.png,501.6,576.8,657.6,True,854
Bonafide,14419.png,520.0,561.6,649.6,True,844
Bonafide,14439.png,519.2,562.4,609.6,True,792
Bonafide,14511.png,520.0,579.2,668.8,True,869
Bonafide,14512.png,514.4,592.8,715.2,True,929
Bonafide,14515.png,511.2,554.4,718.4,True,933
Bonafide,14540.png,514.4,557.6,593.6,True,771
Bonafide,14555.png,520.0,564.8,710.4,True,923
Bonafide,14593.png,518.4,576.0,700.8,True,911
Bonafide,14619.png,512.0,512.0,640.0,False,832
Bonafide,14663.png,506.4,556.0,708.8,True,921
Bonafide,14678.png,510.4,558.4,688.0,True,894
Bonafide,14686.png,504.8,564.0,689.6,True,896
Bonafide,14701.png,496.8,556.0,555.2,True,721
Bonafide,14708.png,495.2,562.4,680.0,True,884
Bonafide,14713.png,516.0,560.8,750.4,True,975
Bonafide,14723.png,503.2,559.2,660.8,True,859
Bonafide,14735.png,517.6,576.8,696.0,True,904
Bonafide,14742.png,521.6,577.6,652.8,True,848
Bonafide,14764.png,524.8,566.4,688.0,True,894
Bonafide,14784.png,521.6,561.6,748.8,True,973
Bonafide,14812.png,503.2,580.0,699.2,True,908
Bonafide,14822.png,498.4,549.6,622.4,True,809
Bonafide,14862.png,506.4,543.2,702.4,True,913
Bonafide,14885.png,510.4,537.6,662.4,True,861
Bonafide,14899.png,516.0,564.0,699.2,True,908
Bonafide,14909.png,507.2,548.8,678.4,True,881
Bonafide,14921.png,511.2,549.6,686.4,True,892
Bonafide,14930.png,519.2,541.6,731.2,True,950
Bonafide,14977.png,512.8,556.0,651.2,True,846
Bonafide,15038.png,517.6,562.4,737.6,True,958
Bonafide,15084.png,519.2,589.6,670.4,True,871
Bonafide,15121.png,508.0,556.0,628.8,True,817
Bonafide,15132.png,511.2,559.2,712.0,True,925
Bonafide,15139.png,525.6,567.2,612.8,True,796
Bonafide,15140.png,516.0,568.8,657.6,True,854
Bonafide,15156.png,504.8,567.2,702.4,True,913
Bonafide,15170.png,509.6,597.6,680.0,True,884
Bonafide,15174.png,529.6,566.4,665.6,True,865
Bonafide,15219.png,507.2,555.2,726.4,True,944
Bonafide,15237.png,503.2,544.8,664.0,True,863
Bonafide,15238.png,528.8,562.4,731.2,True,950
Bonafide,15240.png,506.4,556.0,683.2,True,888
Bonafide,15243.png,518.4,552.0,691.2,True,898
Bonafide,15255.png,520.8,559.2,667.2,True,867
Bonafide,15286.png,503.2,557.6,712.0,True,925
Bonafide,15305.png,516.8,544.0,675.2,True,877
Bonafide,15326.png,510.4,552.0,467.2,True,607
Bonafide,15336.png,508.0,551.2,683.2,True,888
Bonafide,15370.png,512.0,564.8,620.8,True,807
Bonafide,15376.png,513.6,569.6,697.6,True,906
Bonafide,15386.png,536.8,538.4,638.4,True,829
Bonafide,15390.png,531.2,569.6,627.2,True,815
Bonafide,15407.png,521.6,563.2,627.2,True,815
Bonafide,15421.png,507.2,552.0,659.2,True,856
Bonafide,15459.png,510.4,564.8,688.0,True,894
Bonafide,15469.png,504.0,561.6,643.2,True,836
Bonafide,15470.png,528.8,540.0,600.0,True,780
Bonafide,15554.png,521.6,569.6,697.6,True,906
Bonafide,15581.png,505.6,561.6,598.4,True,777
Bonafide,15609.png,525.6,548.0,673.6,True,875
Bonafide,15636.png,512.8,554.4,651.2,True,846
Bonafide,15637.png,503.2,570.4,737.6,True,958
Bonafide,15683.png,509.6,588.0,734.4,True,954
Bonafide,15699.png,535.2,554.4,625.6,True,813
Bonafide,15718.png,522.4,578.4,731.2,True,950
Bonafide,15722.png,512.8,559.2,660.8,True,859
Bonafide,15773.png,512.0,561.6,640.0,True,832
Bonafide,15783.png,508.0,556.0,641.6,True,834
Bonafide,15787.png,509.6,552.8,686.4,True,892
Bonafide,15804.png,496.0,574.4,630.4,True,819
Bonafide,15841.png,514.4,576.8,648.0,True,842
Bonafide,15843.png,516.0,554.4,654.4,True,850
Bonafide,15851.png,510.4,545.6,643.2,True,836
Bonafide,15860.png,506.4,554.4,635.2,True,825
Bonafide,15883.png,506.4,543.2,635.2,True,825
Bonafide,15915.png,516.8,571.2,592.0,True,769
Bonafide,15947.png,524.8,544.0,704.0,True,915
Bonafide,15965.png,521.6,569.6,665.6,True,865
Bonafide,15983.png,509.6,564.0,584.0,True,759
Bonafide,16038.png,522.4,570.4,705.6,True,917
Bonafide,16049.png,513.6,555.2,665.6,True,865
Bonafide,16068.png,513.6,536.0,601.6,True,782
Bonafide,16079.png,517.6,552.8,728.0,True,946
Bonafide,16102.png,508.8,552.0,688.0,True,894
Bonafide,16116.png,505.6,571.2,745.6,True,969
Bonafide,16132.png,508.8,537.6,611.2,True,794
Bonafide,16170.png,504.8,536.8,644.8,True,838
Bonafide,16193.png,513.6,542.4,656.0,True,852
Bonafide,16205.png,521.6,571.2,582.4,True,757
Bonafide,16220.png,516.0,560.8,753.6,True,979
Bonafide,16223.png,506.4,570.4,721.6,True,938
Bonafide,16229.png,517.6,556.0,683.2,True,888
