cls,file,id,width,height,mode,bytes,info_keys,n_exif,orientation,mean,std,mean_r,mean_g,mean_b
Bonafide,00962.png,962,1024,1024,RGB,1470926,,0,1,66.19555,55.198875,95.95432,51.21447,51.417816
Bonafide,00998.png,998,1024,1024,RGB,1394009,,0,1,125.769264,65.79722,148.93892,127.21205,101.1569
Bonafide,01012.png,1012,1024,1024,RGB,1623407,,0,1,69.89236,57.38174,90.501854,75.74888,43.42627
Bonafide,08794.png,8794,1024,1024,RGB,1584438,,0,1,133.164,64.98635,155.54346,129.33687,114.611755
Bonafide,10673.png,10673,1024,1024,RGB,1913701,,0,1,130.2913,51.164745,140.63779,119.78522,130.45076
Bonafide,10684.png,10684,1024,1024,RGB,1560768,,0,1,81.27451,73.39044,94.05496,76.66659,73.10199
Bonafide,10696.png,10696,1024,1024,RGB,1562831,,0,1,89.57076,56.490295,113.04813,84.241234,71.42299
Bonafide,10712.png,10712,1024,1024,RGB,1614737,,0,1,64.658936,63.31094,95.54464,53.790825,44.64136
Bonafide,10728.png,10728,1024,1024,RGB,1580100,,0,1,101.21354,58.337044,116.40504,95.79015,91.445435
Bonafide,10741.png,10741,1024,1024,RGB,1559023,,0,1,72.63384,59.250538,80.31784,75.085754,62.49791
Bonafide,10744.png,10744,1024,1024,RGB,1909030,,0,1,92.38776,65.798836,119.22,80.78517,77.15811
Bonafide,10881.png,10881,1024,1024,RGB,1456679,,0,1,133.10573,49.1544,147.78569,129.6149,121.91674
Bonafide,10889.png,10889,1024,1024,RGB,1383737,,0,1,102.06153,73.07388,135.41943,91.60277,79.16242
Bonafide,10954.png,10954,1024,1024,RGB,1701889,,0,1,120.97213,57.269714,122.12956,113.351006,127.43585
Bonafide,10960.png,10960,1024,1024,RGB,1624650,,0,1,142.26485,61.909668,177.59648,148.88422,100.31366
Bonafide,10970.png,10970,1024,1024,RGB,1615809,,0,1,130.5539,70.131294,141.06912,125.84977,124.74278
Bonafide,10972.png,10972,1024,1024,RGB,1751881,,0,1,94.69894,55.04109,119.903404,91.772514,72.420746
Bonafide,10992.png,10992,1024,1024,RGB,1871352,,0,1,93.5622,61.138386,104.68158,92.11813,83.886826
Bonafide,11040.png,11040,1024,1024,RGB,1527162,,0,1,111.767555,89.13605,125.14527,108.73272,101.42457
Bonafide,11053.png,11053,1024,1024,RGB,1399951,,0,1,116.02837,58.38142,133.7674,112.942726,101.375046
Bonafide,11099.png,11099,1024,1024,RGB,1593602,,0,1,104.07999,75.164474,111.2828,84.32933,116.62785
Bonafide,11117.png,11117,1024,1024,RGB,1515570,,0,1,84.87815,77.872154,105.82656,85.552734,63.255257
Bonafide,11130.png,11130,1024,1024,RGB,1431227,,0,1,109.635185,73.81319,118.41881,108.19248,102.29435
Bonafide,11154.png,11154,1024,1024,RGB,1429454,,0,1,91.3285,56.18737,104.90966,87.20485,81.87093
Bonafide,11166.png,11166,1024,1024,RGB,1527834,,0,1,166.9858,40.721397,171.75005,158.40356,170.80382
Bonafide,11174.png,11174,1024,1024,RGB,1647806,,0,1,155.2403,75.0934,179.63898,151.86859,134.21346
Bonafide,11185.png,11185,1024,1024,RGB,1576161,,0,1,59.476883,64.06846,89.69648,50.38334,38.35079
Bonafide,11193.png,11193,1024,1024,RGB,1538444,,0,1,65.829704,53.066063,90.11527,59.75676,47.61716
Bonafide,11196.png,11196,1024,1024,RGB,1523648,,0,1,91.740265,84.446846,145.16444,79.765465,50.29069
Bonafide,11233.png,11233,1024,1024,RGB,1551986,,0,1,148.69768,57.741734,186.22385,140.05447,119.81476
Bonafide,11237.png,11237,1024,1024,RGB,1751430,,0,1,82.27705,56.31641,108.055176,78.7139,60.06212
Bonafide,11261.png,11261,1024,1024,RGB,1554730,,0,1,94.73916,61.97386,113.516914,92.28483,78.415726
Bonafide,11280.png,11280,1024,1024,RGB,1317545,,0,1,112.20965,74.86733,114.26872,113.02011,109.33996
Bonafide,11308.png,11308,1024,1024,RGB,1577230,,0,1,86.171906,49.730495,104.5295,83.564095,70.42235
Bonafide,11311.png,11311,1024,1024,RGB,1607620,,0,1,172.58899,52.767807,183.81161,169.03796,164.91743
Bonafide,11312.png,11312,1024,1024,RGB,1547132,,0,1,147.48169,69.68492,172.6396,140.15108,129.65431
Bonafide,11322.png,11322,1024,1024,RGB,1191695,,0,1,173.82683,68.00107,193.84811,172.55263,155.07999
Bonafide,11326.png,11326,1024,1024,RGB,1636079,,0,1,105.40821,72.53297,133.332,101.84207,81.050674
Bonafide,11358.png,11358,1024,1024,RGB,1943897,,0,1,101.227936,61.290363,124.736755,98.6896,80.257355
Bonafide,11359.png,11359,1024,1024,RGB,1606067,,0,1,52.963673,59.465736,69.32155,48.29852,41.270905
Bonafide,11373.png,11373,1024,1024,RGB,1779914,,0,1,129.49371,61.051712,136.33405,123.88554,128.26114
Bonafide,11413.png,11413,1024,1024,RGB,1320036,,0,1,69.23283,39.981544,74.00464,66.80838,66.88557
Bonafide,11443.png,11443,1024,1024,RGB,1475075,,0,1,91.01471,69.160645,85.244194,86.735214,101.06456
Bonafide,11463.png,11463,1024,1024,RGB,1735501,,0,1,160.03394,63.5433,204.14919,152.25655,123.696045
Bonafide,11483.png,11483,1024,1024,RGB,1454797,,0,1,108.74105,63.30537,125.403885,110.013115,90.80618
Bonafide,11506.png,11506,1024,1024,RGB,1744810,,0,1,158.96327,64.625626,179.54276,163.8998,133.4474
Bonafide,11507.png,11507,1024,1024,RGB,1171444,,0,1,162.65982,53.28247,170.30957,155.08925,162.58063
Bonafide,11513.png,11513,1024,1024,RGB,1635594,,0,1,82.51168,70.07858,103.81999,77.34723,66.36775
Bonafide,11519.png,11519,1024,1024,RGB,1772132,,0,1,100.92804,73.86896,112.998985,95.11037,94.674835
Bonafide,11541.png,11541,1024,1024,RGB,1335734,,0,1,99.20608,48.879314,110.350685,94.715256,92.55244
Bonafide,11567.png,11567,1024,1024,RGB,1700962,,0,1,148.50342,48.741497,167.16496,146.70152,131.64417
Bonafide,11634.png,11634,1024,1024,RGB,1474009,,0,1,182.84016,62.75048,199.03543,178.34692,171.13832
Bonafide,11644.png,11644,1024,1024,RGB,1623563,,0,1,101.64188,59.78953,107.756676,106.73284,90.43604
Bonafide,11728.png,11728,1024,1024,RGB,1588603,,0,1,117.59671,69.99916,140.73648,116.37599,95.67761
