file,cls,label,pair_id,paired,phone,fold,locked,lopo_group,random_split
00962.png,Bonafide,0,00962,True,iPhone,2,False,iPhone,train
00998.png,Bonafide,0,00998,True,iPhone,0,False,iPhone,train
01012.png,Bonafide,0,01012,True,iPhone,4,True,iPhone,train
08794.png,Bonafide,0,08794,True,iPhone,3,False,iPhone,train
10673.png,Bonafide,0,10673,True,iPhone,0,False,iPhone,train
10684.png,Bonafide,0,10684,True,iPhone,1,False,iPhone,train
10696.png,Bonafide,0,10696,True,iPhone,2,False,iPhone,train
10712.png,Bonafide,0,10712,True,iPhone,3,False,iPhone,train
10728.png,Bonafide,0,10728,True,iPhone,1,False,iPhone,train
10741.png,Bonafide,0,10741,True,iPhone,4,True,iPhone,train
10744.png,Bonafide,0,10744,True,Samsung,4,True,Samsung,train
10881.png,Bonafide,0,10881,True,Samsung,0,False,Samsung,train
10889.png,Bonafide,0,10889,True,Samsung,3,False,Samsung,train
10954.png,Bonafide,0,10954,True,Samsung,3,False,Samsung,val
10960.png,Bonafide,0,10960,True,Samsung,0,False,Samsung,train
10970.png,Bonafide,0,10970,True,Samsung,2,False,Samsung,val
10972.png,Bonafide,0,10972,True,Samsung,1,False,Samsung,train
10992.png,Bonafide,0,10992,True,Samsung,2,False,Samsung,val
11040.png,Bonafide,0,11040,True,Samsung,1,False,Samsung,train
11053.png,Bonafide,0,11053,True,iPhone,4,True,iPhone,train
11099.png,Bonafide,0,11099,True,iPhone,2,False,iPhone,train
11117.png,Bonafide,0,11117,True,iPhone,1,False,iPhone,train
11130.png,Bonafide,0,11130,True,iPhone,0,False,iPhone,train
11154.png,Bonafide,0,11154,False,none,0,False,bona_train,train
11166.png,Bonafide,0,11166,False,none,2,False,bona_train,train
11174.png,Bonafide,0,11174,False,none,4,True,bona_train,train
11185.png,Bonafide,0,11185,False,none,4,True,bona_train,train
11193.png,Bonafide,0,11193,False,none,2,False,bona_train,train
11196.png,Bonafide,0,11196,False,none,0,False,bona_train,train
11233.png,Bonafide,0,11233,False,none,0,False,bona_val,train
11237.png,Bonafide,0,11237,False,none,0,False,bona_train,train
11261.png,Bonafide,0,11261,False,none,4,True,bona_train,train
11280.png,Bonafide,0,11280,False,none,4,True,bona_val,val
11308.png,Bonafide,0,11308,False,none,0,False,bona_train,train
11311.png,Bonafide,0,11311,False,none,3,False,bona_train,train
11312.png,Bonafide,0,11312,False,none,1,False,bona_train,val
11322.png,Bonafide,0,11322,False,none,3,False,bona_train,train
11326.png,Bonafide,0,11326,False,none,0,False,bona_val,train
11358.png,Bonafide,0,11358,False,none,0,False,bona_val,train
11359.png,Bonafide,0,11359,False,none,1,False,bona_train,train
11373.png,Bonafide,0,11373,False,none,3,False,bona_val,train
11413.png,Bonafide,0,11413,False,none,1,False,bona_val,train
11443.png,Bonafide,0,11443,False,none,2,False,bona_train,train
11463.png,Bonafide,0,11463,False,none,0,False,bona_train,train
11483.png,Bonafide,0,11483,False,none,0,False,bona_train,train
11506.png,Bonafide,0,11506,False,none,4,True,bona_val,train
11507.png,Bonafide,0,11507,False,none,0,False,bona_val,train
11513.png,Bonafide,0,11513,False,none,2,False,bona_train,train
11519.png,Bonafide,0,11519,False,none,2,False,bona_train,train
11541.png,Bonafide,0,11541,False,none,3,False,bona_val,train
11567.png,Bonafide,0,11567,False,none,2,False,bona_train,train
11634.png,Bonafide,0,11634,False,none,1,False,bona_train,train
11644.png,Bonafide,0,11644,False,none,3,False,bona_train,train
11728.png,Bonafide,0,11728,False,none,1,False,bona_val,train
11781.png,Bonafide,0,11781,False,none,4,True,bona_train,train
11786.png,Bonafide,0,11786,False,none,3,False,bona_train,train
11807.png,Bonafide,0,11807,False,none,0,False,bona_val,train
11810.png,Bonafide,0,11810,False,none,1,False,bona_val,train
11838.png,Bonafide,0,11838,False,none,2,False,bona_train,train
11886.png,Bonafide,0,11886,False,none,0,False,bona_train,train
11953.png,Bonafide,0,11953,False,none,0,False,bona_train,train
11957.png,Bonafide,0,11957,False,none,4,True,bona_train,train
11981.png,Bonafide,0,11981,False,none,0,False,bona_train,train
11999.png,Bonafide,0,11999,False,none,3,False,bona_train,train
12009.png,Bonafide,0,12009,False,none,2,False,bona_train,train
12022.png,Bonafide,0,12022,False,none,0,False,bona_train,train
12024.png,Bonafide,0,12024,False,none,1,False,bona_train,val
12030.png,Bonafide,0,12030,False,none,2,False,bona_train,train
12062.png,Bonafide,0,12062,False,none,4,True,bona_val,train
12103.png,Bonafide,0,12103,False,none,0,False,bona_train,train
12122.png,Bonafide,0,12122,False,none,1,False,bona_train,train
12145.png,Bonafide,0,12145,False,none,4,True,bona_train,train
12163.png,Bonafide,0,12163,False,none,2,False,bona_train,train
12174.png,Bonafide,0,12174,False,none,1,False,bona_train,train
12188.png,Bonafide,0,12188,False,none,2,False,bona_val,train
12189.png,Bonafide,0,12189,False,none,2,False,bona_train,train
12207.png,Bonafide,0,12207,False,none,0,False,bona_val,train
12214.png,Bonafide,0,12214,False,none,1,False,bona_val,val
12249.png,Bonafide,0,12249,False,none,0,False,bona_train,train
12269.png,Bonafide,0,12269,False,none,4,True,bona_train,train
12278.png,Bonafide,0,12278,False,none,4,True,bona_val,val
12302.png,Bonafide,0,12302,False,none,4,True,bona_val,train
12320.png,Bonafide,0,12320,False,none,2,False,bona_train,train
12332.png,Bonafide,0,12332,False,none,3,False,bona_train,train
12349.png,Bonafide,0,12349,False,none,4,True,bona_train,train
12357.png,Bonafide,0,12357,False,none,3,False,bona_train,train
12368.png,Bonafide,0,12368,False,none,0,False,bona_train,train
12383.png,Bonafide,0,12383,False,none,2,False,bona_train,train
12385.png,Bonafide,0,12385,False,none,1,False,bona_train,train
12412.png,Bonafide,0,12412,False,none,3,False,bona_train,train
12444.png,Bonafide,0,12444,False,none,1,False,bona_train,train
12461.png,Bonafide,0,12461,False,none,3,False,bona_val,train
12465.png,Bonafide,0,12465,False,none,1,False,bona_val,train
12471.png,Bonafide,0,12471,False,none,2,False,bona_train,train
12481.png,Bonafide,0,12481,False,none,3,False,bona_train,train
12482.png,Bonafide,0,12482,False,none,2,False,bona_train,val
12533.png,Bonafide,0,12533,False,none,0,False,bona_train,train
12562.png,Bonafide,0,12562,False,none,1,False,bona_train,train
12569.png,Bonafide,0,12569,False,none,4,True,bona_val,train
12605.png,Bonafide,0,12605,False,none,1,False,bona_train,train
12616.png,Bonafide,0,12616,False,none,4,True,bona_train,train
12702.png,Bonafide,0,12702,False,none,1,False,bona_train,train
12705.png,Bonafide,0,12705,False,none,2,False,bona_train,train
12714.png,Bonafide,0,12714,False,none,0,False,bona_val,train
12735.png,Bonafide,0,12735,False,none,0,False,bona_train,train
12770.png,Bonafide,0,12770,False,none,2,False,bona_train,train
12818.png,Bonafide,0,12818,False,none,3,False,bona_train,train
12871.png,Bonafide,0,12871,False,none,3,False,bona_train,train
12872.png,Bonafide,0,12872,False,none,1,False,bona_train,train
12880.png,Bonafide,0,12880,False,none,2,False,bona_train,train
12934.png,Bonafide,0,12934,False,none,4,True,bona_train,train
12979.png,Bonafide,0,12979,False,none,3,False,bona_train,train
12994.png,Bonafide,0,12994,False,none,0,False,bona_val,train
12998.png,Bonafide,0,12998,False,none,1,False,bona_train,train
13013.png,Bonafide,0,13013,False,none,3,False,bona_train,train
13037.png,Bonafide,0,13037,False,none,2,False,bona_train,train
13045.png,Bonafide,0,13045,False,none,2,False,bona_train,train
13046.png,Bonafide,0,13046,False,none,4,True,bona_train,val
13079.png,Bonafide,0,13079,False,none,0,False,bona_train,train
13121.png,Bonafide,0,13121,False,none,4,True,bona_val,val
13124.png,Bonafide,0,13124,False,none,4,True,bona_train,train
13152.png,Bonafide,0,13152,False,none,1,False,bona_train,train
13157.png,Bonafide,0,13157,False,none,1,False,bona_train,train
13247.png,Bonafide,0,13247,False,none,1,False,bona_train,train
13257.png,Bonafide,0,13257,False,none,0,False,bona_train,val
13328.png,Bonafide,0,13328,False,none,3,False,bona_train,train
13344.png,Bonafide,0,13344,False,none,1,False,bona_train,train
13345.png,Bonafide,0,13345,False,none,1,False,bona_train,train
13355.png,Bonafide,0,13355,False,none,0,False,bona_train,train
13357.png,Bonafide,0,13357,False,none,1,False,bona_train,train
13363.png,Bonafide,0,13363,False,none,1,False,bona_train,train
13382.png,Bonafide,0,13382,False,none,2,False,bona_train,val
13386.png,Bonafide,0,13386,False,none,1,False,bona_val,val
13388.png,Bonafide,0,13388,False,none,0,False,bona_train,train
13396.png,Bonafide,0,13396,False,none,0,False,bona_val,train
13410.png,Bonafide,0,13410,False,none,2,False,bona_train,train
13414.png,Bonafide,0,13414,False,none,0,False,bona_train,train
13461.png,Bonafide,0,13461,False,none,1,False,bona_val,train
13478.png,Bonafide,0,13478,False,none,3,False,bona_train,train
13497.png,Bonafide,0,13497,False,none,2,False,bona_val,train
13502.png,Bonafide,0,13502,False,none,3,False,bona_train,val
13530.png,Bonafide,0,13530,False,none,1,False,bona_train,train
13537.png,Bonafide,0,13537,False,none,4,True,bona_val,val
13562.png,Bonafide,0,13562,False,none,2,False,bona_train,train
13568.png,Bonafide,0,13568,False,none,3,False,bona_train,train
13582.png,Bonafide,0,13582,False,none,0,False,bona_train,train
13583.png,Bonafide,0,13583,False,none,3,False,bona_val,train
13597.png,Bonafide,0,13597,False,none,3,False,bona_train,train
13610.png,Bonafide,0,13610,False,none,1,False,bona_val,train
13620.png,Bonafide,0,13620,False,none,1,False,bona_train,train
13638.png,Bonafide,0,13638,False,none,2,False,bona_train,val
13640.png,Bonafide,0,13640,False,none,4,True,bona_train,val
13695.png,Bonafide,0,13695,False,none,1,False,bona_train,train
13715.png,Bonafide,0,13715,False,none,0,False,bona_val,train
13719.png,Bonafide,0,13719,False,none,3,False,bona_train,train
13753.png,Bonafide,0,13753,False,none,1,False,bona_train,train
13777.png,Bonafide,0,13777,False,none,2,False,bona_val,train
13836.png,Bonafide,0,13836,False,none,4,True,bona_train,train
13871.png,Bonafide,0,13871,False,none,0,False,bona_train,train
13890.png,Bonafide,0,13890,False,none,0,False,bona_train,train
13925.png,Bonafide,0,13925,False,none,2,False,bona_train,train
