file,label,phone,fold,score
00962.png,0,iPhone,2,3.551505260530919
00998.png,0,iPhone,0,3.0494121381330754
08794.png,0,iPhone,3,2.2193848580409496
10673.png,0,iPhone,0,42.89570616478405
10684.png,0,iPhone,1,3.385228003878461
10696.png,0,iPhone,2,2.8958453699461284
10712.png,0,iPhone,3,2.2472702670578326
10728.png,0,iPhone,1,1.1410034288192954
10881.png,0,Samsung,0,2.929165484048938
10889.png,0,Samsung,3,0.6822755650109135
10954.png,0,Samsung,3,7.415942617077796
10960.png,0,Samsung,0,0.5953059309845353
10970.png,0,Samsung,2,1.3213640700360074
10972.png,0,Samsung,1,2.617192960574531
10992.png,0,Samsung,2,43.49925132131391
11040.png,0,Samsung,1,23.343782772747936
11099.png,0,iPhone,2,2.5357303444002164
11117.png,0,iPhone,1,1.9063583338876045
11130.png,0,iPhone,0,1.9210751035163813
11154.png,0,none,0,4.700379411099038
11166.png,0,none,2,2.925959147300839
11193.png,0,none,2,6.164035358513704
11196.png,0,none,0,8.864943430722736
11233.png,0,none,0,3.5150484486168057
11237.png,0,none,0,2.0624115573900896
11308.png,0,none,0,5.197274882614768
11311.png,0,none,3,5.275167515375976
11312.png,0,none,1,4.926192612093427
11322.png,0,none,3,7.515101277420482
11326.png,0,none,0,2.500180692430682
11358.png,0,none,0,3.3055985523096396
11359.png,0,none,1,1.5006037435433184
11373.png,0,none,3,15.749075525449078
11413.png,0,none,1,13.993281753514726
11443.png,0,none,2,5.80988026500276
11463.png,0,none,0,4.925230266017818
11483.png,0,none,0,0.6801005462538705
11507.png,0,none,0,3.455405612117435
11513.png,0,none,2,1.0879627618757755
11519.png,0,none,2,5.304100573724262
11541.png,0,none,3,2.651935481073201
11567.png,0,none,2,4.392894540421038
11634.png,0,none,1,8.703608327199497
11644.png,0,none,3,2.4387658064945437
11728.png,0,none,1,3.3383717371250903
11786.png,0,none,3,1.8157029299509047
11807.png,0,none,0,2.384754747985546
11810.png,0,none,1,3.007075346721293
11838.png,0,none,2,0.9644017898140365
11886.png,0,none,0,3.207534730629299
11953.png,0,none,0,3.2282790986256593
11981.png,0,none,0,25.463136130945742
11999.png,0,none,3,1.4088969399967555
12009.png,0,none,2,2.963982761450072
12022.png,0,none,0,15.935680557625544
12024.png,0,none,1,9.117724039063473
12030.png,0,none,2,3.208232492167363
12103.png,0,none,0,2.258933987778599
12122.png,0,none,1,5.540840425063793
12163.png,0,none,2,4.990710055183493
12174.png,0,none,1,2.1225008991747156
12188.png,0,none,2,2.1200734662857563
12189.png,0,none,2,6.33023597420813
12207.png,0,none,0,4.970848520985016
12214.png,0,none,1,11.604203561788854
12249.png,0,none,0,1.822330240462973
12320.png,0,none,2,10.89638748855338
12332.png,0,none,3,1.0435254264971432
12357.png,0,none,3,1.493228767172614
12368.png,0,none,0,2.031987007732641
12383.png,0,none,2,5.2469880619136795
12385.png,0,none,1,2.168933614272136
12412.png,0,none,3,2.3135359308291172
12444.png,0,none,1,2.0829662962061386
12461.png,0,none,3,5.307818473501769
12465.png,0,none,1,7.147435880126465
12471.png,0,none,2,22.093913663687726
12481.png,0,none,3,7.728217596691038
12482.png,0,none,2,3.970708911195396
12533.png,0,none,0,2.964786707478566
12562.png,0,none,1,2.7105749156656236
12605.png,0,none,1,5.457161067652805
12702.png,0,none,1,1.109768911715505
12705.png,0,none,2,1.06116672955468
12714.png,0,none,0,3.0794721790608035
12735.png,0,none,0,11.251417027284171
12770.png,0,none,2,2.15139443660769
12818.png,0,none,3,1.0182949450097258
12871.png,0,none,3,1.7996131993966518
12872.png,0,none,1,2.2071281806885574
12880.png,0,none,2,1.2943871016389843
12979.png,0,none,3,5.12589696916261
12994.png,0,none,0,1.6766514923346332
12998.png,0,none,1,2.4326951940005883
13013.png,0,none,3,1.0080366181375409
13037.png,0,none,2,4.78089249467618
13045.png,0,none,2,9.923086109191829
13079.png,0,none,0,0.7584591445489106
13152.png,0,none,1,4.225051344516158
13157.png,0,none,1,1.1519587368263036
13247.png,0,none,1,1.139191276505773
13257.png,0,none,0,10.929860793983128
13328.png,0,none,3,51.56135149281686
13344.png,0,none,1,21.273766439249666
13345.png,0,none,1,2.3758978434359133
13355.png,0,none,0,4.049632833097322
13357.png,0,none,1,6.939901713596526
13363.png,0,none,1,2.3067972337076847
13382.png,0,none,2,3.36835057234711
13386.png,0,none,1,2.9619183526965354
13388.png,0,none,0,10.612256520551059
