file,label,phone,fold,score
00962.png,0,iPhone,2,1054.5572773217696
00998.png,0,iPhone,0,660.9811289565735
08794.png,0,iPhone,3,710.7884692252568
10673.png,0,iPhone,0,1108.1571049977758
10684.png,0,iPhone,1,882.5706212426941
10696.png,0,iPhone,2,409.8134736148999
10712.png,0,iPhone,3,463.1995709678678
10728.png,0,iPhone,1,520.3135773370888
10881.png,0,Samsung,0,608.7995204054606
10889.png,0,Samsung,3,1225.9632084794703
10954.png,0,Samsung,3,1936.2710893586575
10960.png,0,Samsung,0,299.2751278588617
10970.png,0,Samsung,2,795.0655635948004
10972.png,0,Samsung,1,1119.0956604288372
10992.png,0,Samsung,2,630.9030459397028
11040.png,0,Samsung,1,545.8539929553575
11099.png,0,iPhone,2,686.5548078962983
11117.png,0,iPhone,1,417.4657548478595
11130.png,0,iPhone,0,621.5970243452103
11154.png,0,none,0,1002.7869824371189
11166.png,0,none,2,599.4176068638262
11193.png,0,none,2,1266.8914636304119
11196.png,0,none,0,799.4606775911665
11233.png,0,none,0,908.0644440604785
11237.png,0,none,0,266.85438894530927
11308.png,0,none,0,1209.2807701663876
11311.png,0,none,3,669.1056960598054
11312.png,0,none,1,974.274765183681
11322.png,0,none,3,949.6565126566028
11326.png,0,none,0,1364.9723004050923
11358.png,0,none,0,384.0489691720787
11359.png,0,none,1,1099.887513952294
11373.png,0,none,3,1312.8705497413137
11413.png,0,none,1,344.9481080082429
11443.png,0,none,2,1729.1366089517458
11463.png,0,none,0,917.7258168257007
11483.png,0,none,0,389.59699825123863
11507.png,0,none,0,384.3428291054708
11513.png,0,none,2,954.8870062123793
11519.png,0,none,2,467.20758360985013
11541.png,0,none,3,478.90576953752657
11567.png,0,none,2,1018.3948791627707
11634.png,0,none,1,335.09646867576544
11644.png,0,none,3,888.8512117303102
11728.png,0,none,1,789.51232915718
11786.png,0,none,3,2008.6404001938781
11807.png,0,none,0,517.0542932809605
11810.png,0,none,1,531.0259128433843
11838.png,0,none,2,416.0391520099984
11886.png,0,none,0,679.709651939086
