file,label,phone,fold,score
00962.png,0,iPhone,2,1000.4149447012496
00998.png,0,iPhone,0,563.0227631735198
08794.png,0,iPhone,3,467.8329684932902
10673.png,0,iPhone,0,1042.4381409450918
10684.png,0,iPhone,1,483.83755265224414
10696.png,0,iPhone,2,488.8051927445355
10712.png,0,iPhone,3,408.10293160811125
10728.png,0,iPhone,1,348.5556350208809
10881.png,0,Samsung,0,987.4747795623327
10889.png,0,Samsung,3,432.9486097480287
10954.png,0,Samsung,3,823.8375911415096
10960.png,0,Samsung,0,577.3235025605106
10970.png,0,Samsung,2,716.2915122965354
10972.png,0,Samsung,1,1026.9247036171041
10992.png,0,Samsung,2,770.7128500374001
11040.png,0,Samsung,1,1035.9210187334836
11099.png,0,iPhone,2,679.5189027624331
11117.png,0,iPhone,1,522.8143189622776
11130.png,0,iPhone,0,715.1874771023232
11154.png,0,none,0,597.9794246510211
11166.png,0,none,2,605.5349442394173
11193.png,0,none,2,567.3697620225512
11196.png,0,none,0,686.776918796686
11233.png,0,none,0,682.0696743873008
11237.png,0,none,0,450.10056978595657
11308.png,0,none,0,742.3502115641073
11311.png,0,none,3,647.561935773151
11312.png,0,none,1,456.22686416965985
11322.png,0,none,3,474.0857250909732
11326.png,0,none,0,622.2288427153383
11358.png,0,none,0,862.8241203157643
11359.png,0,none,1,363.97040709108234
11373.png,0,none,3,1032.5235633804798
11413.png,0,none,1,444.26473426907876
11443.png,0,none,2,713.5895020826612
11463.png,0,none,0,722.4609081720218
11483.png,0,none,0,521.9118751983774
11507.png,0,none,0,505.3247900007493
11513.png,0,none,2,554.1611336572198
11519.png,0,none,2,576.1812308764028
11541.png,0,none,3,478.8494118649059
11567.png,0,none,2,905.0536243719498
11634.png,0,none,1,383.19319608095356
11644.png,0,none,3,945.2929349853351
11728.png,0,none,1,426.7360361560213
11786.png,0,none,3,695.4740444074682
11807.png,0,none,0,453.49142464368316
11810.png,0,none,1,424.8656526550792
11838.png,0,none,2,538.1441263471729
11886.png,0,none,0,688.2197730523538
11953.png,0,none,0,722.809698097084
11981.png,0,none,0,656.5754607054575
11999.png,0,none,3,1286.2757222064731
12009.png,0,none,2,490.3206811323335
12022.png,0,none,0,1002.268095046252
12024.png,0,none,1,734.9241777303369
12030.png,0,none,2,1382.0451358884807
12103.png,0,none,0,847.8435800130121
12122.png,0,none,1,803.0908751527443
12163.png,0,none,2,1039.7483740097923
12174.png,0,none,1,401.7994463650873
12188.png,0,none,2,543.5809368973803
12189.png,0,none,2,463.5347853254152
12207.png,0,none,0,700.3795114239008
12214.png,0,none,1,839.3943802555245
12249.png,0,none,0,544.1297488271796
12320.png,0,none,2,601.0697125194353
12332.png,0,none,3,540.5198639560456
12357.png,0,none,3,609.12900834653
12368.png,0,none,0,530.1122611749596
12383.png,0,none,2,451.70489666767435
12385.png,0,none,1,378.25396776736136
12412.png,0,none,3,440.98778632489604
12444.png,0,none,1,390.5750657700115
12461.png,0,none,3,544.8912583207502
12465.png,0,none,1,1685.8047252467745
12471.png,0,none,2,316.44139850648367
12481.png,0,none,3,972.1503640929512
12482.png,0,none,2,1516.4801150074575
12533.png,0,none,0,477.7532354884481
12562.png,0,none,1,398.3884537683627
12605.png,0,none,1,418.1935027738383
12702.png,0,none,1,449.7131226022637
12705.png,0,none,2,554.0287387560243
12714.png,0,none,0,496.5979332270008
12735.png,0,none,0,823.87681735328
12770.png,0,none,2,567.5965684997777
12818.png,0,none,3,463.0089148421376
12871.png,0,none,3,645.3615935287183
12872.png,0,none,1,460.84681226632654
12880.png,0,none,2,605.9200463533219
12979.png,0,none,3,653.1198042814284
12994.png,0,none,0,747.104246710617
12998.png,0,none,1,863.5058637905114
13013.png,0,none,3,563.5718296378781
13037.png,0,none,2,986.8622095779407
13045.png,0,none,2,1177.0917573403622
13079.png,0,none,0,796.3110547642115
13152.png,0,none,1,1127.7303233171885
13157.png,0,none,1,452.88271077962463
13247.png,0,none,1,421.7554972300176
13257.png,0,none,0,450.76196231039154
13328.png,0,none,3,1545.1004919677544
13344.png,0,none,1,541.7023992780362
13345.png,0,none,1,691.7045777277222
13355.png,0,none,0,510.3256927056355
13357.png,0,none,1,559.1233102429917
13363.png,0,none,1,487.6126028256508
13382.png,0,none,2,1066.769817155496
13386.png,0,none,1,481.96203815521085
13388.png,0,none,0,645.0731869415727
13396.png,0,none,0,883.1588528348913
13410.png,0,none,2,871.7140530014867
13414.png,0,none,0,1023.3525377703801
13461.png,0,none,1,548.8190177678435
13478.png,0,none,3,330.9882510457457
13497.png,0,none,2,746.1630567128524
13502.png,0,none,3,715.5743066068128
13530.png,0,none,1,1003.4501294871939
13562.png,0,none,2,420.6279765495094
13568.png,0,none,3,421.80581289511844
13582.png,0,none,0,784.8857170626962
13583.png,0,none,3,536.8830561664038
13597.png,0,none,3,515.5176478028108
13610.png,0,none,1,512.6499563326149
13620.png,0,none,1,584.134431832627
