file,cls,label,phone,fold,score,score_top9,score_max,split
00998.png,Bonafide,0,iPhone,0,0.1609681248664856,0.5475852489471436,0.9234234094619751,fold 0
10673.png,Bonafide,0,iPhone,0,0.060198359191417694,0.20945784449577332,0.4394190311431885,fold 0
10881.png,Bonafide,0,Samsung,0,0.09695287048816681,0.29990965127944946,0.593812108039856,fold 0
10960.png,Bonafide,0,Samsung,0,0.06282347440719604,0.19886167347431183,0.3045620024204254,fold 0
11130.png,Bonafide,0,iPhone,0,0.11641509085893631,0.3709329664707184,0.5499361157417297,fold 0
11154.png,Bonafide,0,none,0,0.07957682013511658,0.2922884225845337,0.6870585083961487,fold 0
11196.png,Bonafide,0,none,0,0.06963533163070679,0.26250118017196655,0.7869086265563965,fold 0
11233.png,Bonafide,0,none,0,0.14751240611076355,0.3843778967857361,0.49343860149383545,fold 0
11237.png,Bonafide,0,none,0,0.13691797852516174,0.5143646597862244,0.9108537435531616,fold 0
11308.png,Bonafide,0,none,0,0.22006234526634216,0.6618778705596924,0.8477444648742676,fold 0
11326.png,Bonafide,0,none,0,0.02684730291366577,0.10142481327056885,0.19324970245361328,fold 0
11358.png,Bonafide,0,none,0,0.014968764036893845,0.053175002336502075,0.19171282649040222,fold 0
11463.png,Bonafide,0,none,0,0.08377160876989365,0.2803880274295807,0.7121046781539917,fold 0
11483.png,Bonafide,0,none,0,0.08805738389492035,0.27882450819015503,0.6609236598014832,fold 0
11507.png,Bonafide,0,none,0,0.3148174583911896,0.7407580018043518,0.8553691506385803,fold 0
11807.png,Bonafide,0,none,0,0.1818837672472,0.43074512481689453,0.5786638855934143,fold 0
11886.png,Bonafide,0,none,0,0.05011283606290817,0.1870412826538086,0.7821453809738159,fold 0
11953.png,Bonafide,0,none,0,0.09626087546348572,0.3256922662258148,0.5927538871765137,fold 0
11981.png,Bonafide,0,none,0,0.052758436650037766,0.19440698623657227,0.520470917224884,fold 0
12022.png,Bonafide,0,none,0,0.10301551967859268,0.3615642189979553,0.6071672439575195,fold 0
12103.png,Bonafide,0,none,0,0.1449098140001297,0.443622350692749,0.6244677901268005,fold 0
12207.png,Bonafide,0,none,0,0.07458998262882233,0.23905618488788605,0.5685193538665771,fold 0
12249.png,Bonafide,0,none,0,0.026016850024461746,0.08883678168058395,0.25550395250320435,fold 0
12368.png,Bonafide,0,none,0,0.10917545855045319,0.34235110878944397,0.5149925947189331,fold 0
12533.png,Bonafide,0,none,0,0.14391183853149414,0.3777391016483307,0.6766494512557983,fold 0
12714.png,Bonafide,0,none,0,0.12945319712162018,0.39134204387664795,0.7904888987541199,fold 0
12735.png,Bonafide,0,none,0,0.10154274106025696,0.33487290143966675,0.6584036946296692,fold 0
12994.png,Bonafide,0,none,0,0.08068564534187317,0.2931669056415558,0.8650785684585571,fold 0
13079.png,Bonafide,0,none,0,0.18921034038066864,0.49900707602500916,0.6940693855285645,fold 0
13257.png,Bonafide,0,none,0,0.05553804337978363,0.18292945623397827,0.5084084868431091,fold 0
13355.png,Bonafide,0,none,0,0.04240299016237259,0.15602606534957886,0.47250083088874817,fold 0
13388.png,Bonafide,0,none,0,0.1784471869468689,0.4437728226184845,0.7818091511726379,fold 0
13396.png,Bonafide,0,none,0,0.12895403802394867,0.4883997142314911,0.8284731507301331,fold 0
13414.png,Bonafide,0,none,0,0.06537862867116928,0.2498691827058792,0.6886336207389832,fold 0
13582.png,Bonafide,0,none,0,0.11309129744768143,0.3756561875343323,0.6477839350700378,fold 0
13715.png,Bonafide,0,none,0,0.025676028802990913,0.09399978071451187,0.2150522768497467,fold 0
13871.png,Bonafide,0,none,0,0.1277415007352829,0.4056113362312317,0.6947005391120911,fold 0
13890.png,Bonafide,0,none,0,0.18950426578521729,0.5950935482978821,0.875859260559082,fold 0
13993.png,Bonafide,0,none,0,0.09527985751628876,0.3491767346858978,0.6617486476898193,fold 0
14019.png,Bonafide,0,none,0,0.11712077260017395,0.38334205746650696,0.667723536491394,fold 0
14083.png,Bonafide,0,none,0,0.11410827189683914,0.3779858946800232,0.7604492902755737,fold 0
14261.png,Bonafide,0,none,0,0.11224523931741714,0.3407483994960785,0.6770082116127014,fold 0
14397.png,Bonafide,0,none,0,0.09060639142990112,0.30714961886405945,0.9345935583114624,fold 0
14413.png,Bonafide,0,none,0,0.05701551213860512,0.21678511798381805,0.7241337895393372,fold 0
14511.png,Bonafide,0,none,0,0.2744533121585846,0.7237774133682251,0.902863621711731,fold 0
14540.png,Bonafide,0,none,0,0.04187988117337227,0.15382610261440277,0.5422877669334412,fold 0
14555.png,Bonafide,0,none,0,0.05803989619016647,0.2064087688922882,0.6717560291290283,fold 0
14678.png,Bonafide,0,none,0,0.11653939634561539,0.3440771698951721,0.5134106874465942,fold 0
14686.png,Bonafide,0,none,0,0.04559968411922455,0.16035644710063934,0.33323338627815247,fold 0
14742.png,Bonafide,0,none,0,0.013173330575227737,0.04704127833247185,0.13569001853466034,fold 0
14862.png,Bonafide,0,none,0,0.10356132686138153,0.2881253659725189,0.7506844997406006,fold 0
14899.png,Bonafide,0,none,0,0.05022784695029259,0.17457471787929535,0.4498846232891083,fold 0
14930.png,Bonafide,0,none,0,0.18096113204956055,0.5480209589004517,0.7276692986488342,fold 0
15286.png,Bonafide,0,none,0,0.20943307876586914,0.5869038701057434,0.9172493815422058,fold 0
15370.png,Bonafide,0,none,0,0.1741529107093811,0.6237665414810181,0.9501549005508423,fold 0
15376.png,Bonafide,0,none,0,0.06084716320037842,0.18659323453903198,0.4636583924293518,fold 0
15421.png,Bonafide,0,none,0,0.14118841290473938,0.5149680376052856,0.8559401631355286,fold 0
15554.png,Bonafide,0,none,0,0.0410851389169693,0.13313394784927368,0.24564917385578156,fold 0
15581.png,Bonafide,0,none,0,0.20740097761154175,0.62859046459198,0.9353078603744507,fold 0
15841.png,Bonafide,0,none,0,0.13960294425487518,0.45718955993652344,0.731945276260376,fold 0
16038.png,Bonafide,0,none,0,0.08297562599182129,0.30206701159477234,0.8124086260795593,fold 0
16132.png,Bonafide,0,none,0,0.008304932154715061,0.02834368124604225,0.09257229417562485,fold 0
16229.png,Bonafide,0,none,0,0.0750044584274292,0.2573818266391754,0.8101031184196472,fold 0
16243.png,Bonafide,0,none,0,0.11299990117549896,0.3960636556148529,0.7226345539093018,fold 0
16311.png,Bonafide,0,none,0,0.05540328845381737,0.20794038474559784,0.475276917219162,fold 0
16367.png,Bonafide,0,none,0,0.14707662165164948,0.5018153786659241,0.7934566736221313,fold 0
16402.png,Bonafide,0,none,0,0.13202601671218872,0.3833582103252411,0.8193649053573608,fold 0
16405.png,Bonafide,0,none,0,0.17059487104415894,0.528952419757843,0.8312800526618958,fold 0
16603.png,Bonafide,0,none,0,0.2637293040752411,0.6583248376846313,0.8900895714759827,fold 0
16942.png,Bonafide,0,none,0,0.135207399725914,0.37435582280158997,0.9685155749320984,fold 0
17093.png,Bonafide,0,none,0,0.15619108080863953,0.5425052642822266,0.8842155933380127,fold 0
17105.png,Bonafide,0,none,0,0.0074142045341432095,0.026572545990347862,0.1030263677239418,fold 0
17191.png,Bonafide,0,none,0,0.34760794043540955,0.8639340400695801,0.9619631171226501,fold 0
17394.png,Bonafide,0,none,0,0.04823927581310272,0.1738658994436264,0.47566309571266174,fold 0
17406.png,Bonafide,0,none,0,0.21944953501224518,0.7652886509895325,0.9502650499343872,fold 0
17492.png,Bonafide,0,none,0,0.1575280725955963,0.5157177448272705,0.6140116453170776,fold 0
17627.png,Bonafide,0,none,0,0.13137605786323547,0.43835413455963135,0.912787675857544,fold 0
17905.png,Bonafide,0,none,0,0.05568540096282959,0.2010311484336853,0.9107123613357544,fold 0
17986.png,Bonafide,0,none,0,0.19457513093948364,0.5773242115974426,0.8749043345451355,fold 0
18115.png,Bonafide,0,none,0,0.06680621206760406,0.2418152242898941,0.46764078736305237,fold 0
18325.png,Bonafide,0,none,0,0.22230100631713867,0.6685502529144287,0.7991580963134766,fold 0
18502.png,Bonafide,0,none,0,0.05028647184371948,0.19635005295276642,0.7546308040618896,fold 0
18711.png,Bonafide,0,none,0,0.028743382543325424,0.10541293025016785,0.21449923515319824,fold 0
18758.png,Bonafide,0,none,0,0.02130327932536602,0.07913987338542938,0.2038602977991104,fold 0
18762.png,Bonafide,0,none,0,0.02583383582532406,0.08909376710653305,0.3247532546520233,fold 0
18853.png,Bonafide,0,none,0,0.05219004675745964,0.1984890103340149,0.628928005695343,fold 0
19019.png,Bonafide,0,none,0,0.08259835839271545,0.2815089225769043,0.5961570143699646,fold 0
19354.png,Bonafide,0,none,0,0.13827568292617798,0.40266677737236023,0.7598356604576111,fold 0
19438.png,Bonafide,0,none,0,0.07518318295478821,0.28244492411613464,0.5089244246482849,fold 0
19484.png,Bonafide,0,none,0,0.11513345688581467,0.3505280017852783,0.6154680252075195,fold 0
19595.png,Bonafide,0,none,0,0.005373381078243256,0.015413586981594563,0.03589913249015808,fold 0
19602.png,Bonafide,0,none,0,0.3111502230167389,0.757746160030365,0.9572146534919739,fold 0
19605.png,Bonafide,0,none,0,0.06951426714658737,0.2499236762523651,0.5784574151039124,fold 0
19626.png,Bonafide,0,none,0,0.06455308198928833,0.22453124821186066,0.6018588542938232,fold 0
19709.png,Bonafide,0,none,0,0.03867528215050697,0.13184870779514313,0.3947378993034363,fold 0
19909.png,Bonafide,0,none,0,0.06981435418128967,0.24563783407211304,0.6647363305091858,fold 0
19978.png,Bonafide,0,none,0,0.18286015093326569,0.6698036789894104,0.8080613017082214,fold 0
19994.png,Bonafide,0,none,0,0.11920424550771713,0.38549312949180603,0.6328643560409546,fold 0
20163.png,Bonafide,0,none,0,0.33375126123428345,0.731086015701294,0.8423793911933899,fold 0
20181.png,Bonafide,0,none,0,0.09942428022623062,0.31290334463119507,0.7446060180664062,fold 0
20220.png,Bonafide,0,none,0,0.2770170569419861,0.8373485803604126,0.992675244808197,fold 0
20229.png,Bonafide,0,none,0,0.05555124580860138,0.20612400770187378,0.5992898344993591,fold 0
20276.png,Bonafide,0,none,0,0.18039458990097046,0.6346641778945923,0.7714008092880249,fold 0
20287.png,Bonafide,0,none,0,0.27956658601760864,0.8234460353851318,0.934623658657074,fold 0
20367.png,Bonafide,0,none,0,0.04460455849766731,0.13412067294120789,0.2696388065814972,fold 0
20508.png,Bonafide,0,none,0,0.14513248205184937,0.4550429880619049,0.9384235739707947,fold 0
20518.png,Bonafide,0,none,0,0.04141639173030853,0.1623169183731079,0.7109577655792236,fold 0
20818.png,Bonafide,0,none,0,0.026568861678242683,0.101690873503685,0.31211045384407043,fold 0
20860.png,Bonafide,0,none,0,0.1774924397468567,0.5660220384597778,0.9835054278373718,fold 0
20878.png,Bonafide,0,none,0,0.11828439682722092,0.38929665088653564,0.8013889193534851,fold 0
20986.png,Bonafide,0,none,0,0.03707106411457062,0.13164132833480835,0.4323514699935913,fold 0
20987.png,Bonafide,0,none,0,0.02470671944320202,0.09171547740697861,0.3273845314979553,fold 0
21131.png,Bonafide,0,none,0,0.07882923632860184,0.2855234146118164,0.711789071559906,fold 0
21319.png,Bonafide,0,none,0,0.09203460067510605,0.33083435893058777,0.8012201189994812,fold 0
21326.png,Bonafide,0,none,0,0.04416154325008392,0.13346679508686066,0.20855312049388885,fold 0
21327.png,Bonafide,0,none,0,0.1149572804570198,0.3921603858470917,0.713113009929657,fold 0
21550.png,Bonafide,0,none,0,0.074700266122818,0.21567808091640472,0.5153589844703674,fold 0
21598.png,Bonafide,0,none,0,0.21908292174339294,0.5652076601982117,0.8134816288948059,fold 0
21637.png,Bonafide,0,none,0,0.013446670025587082,0.04640306904911995,0.13180410861968994,fold 0
21743.png,Bonafide,0,none,0,0.19252407550811768,0.5885226726531982,0.7281703948974609,fold 0
21975.png,Bonafide,0,none,0,0.034398555755615234,0.11890947818756104,0.33400607109069824,fold 0
22049.png,Bonafide,0,none,0,0.38309532403945923,0.7173608541488647,0.9121195077896118,fold 0
22191.png,Bonafide,0,none,0,0.17006002366542816,0.6313797831535339,0.9002601504325867,fold 0
22238.png,Bonafide,0,none,0,0.03778029978275299,0.13846439123153687,0.3593634366989136,fold 0
22266.png,Bonafide,0,none,0,0.4080413579940796,0.7968878149986267,0.9862737059593201,fold 0
22385.png,Bonafide,0,none,0,0.5058410167694092,0.937480092048645,0.9969786405563354,fold 0
22622.png,Bonafide,0,none,0,0.09539575129747391,0.35623791813850403,0.9920138716697693,fold 0
22693.png,Bonafide,0,none,0,0.11954135447740555,0.4105234742164612,0.7217624187469482,fold 0
22766.png,Bonafide,0,none,0,0.24966682493686676,0.829367458820343,0.9543425440788269,fold 0
22862.png,Bonafide,0,none,0,0.07277263700962067,0.24098777770996094,0.42950618267059326,fold 0
23023.png,Bonafide,0,none,0,0.08375611156225204,0.324516624212265,0.8080613017082214,fold 0
23048.png,Bonafide,0,none,0,0.07648969441652298,0.27156054973602295,0.5601402521133423,fold 0
23296.png,Bonafide,0,none,0,0.09922005981206894,0.3453593850135803,0.7631133794784546,fold 0
23402.png,Bonafide,0,none,0,0.06929164379835129,0.26100534200668335,0.8130820393562317,fold 0
23570.png,Bonafide,0,none,0,0.42124268412590027,0.7925565838813782,0.9360564947128296,fold 0
23585.png,Bonafide,0,none,0,0.05150415003299713,0.18363507091999054,0.5252591967582703,fold 0
23606.png,Bonafide,0,none,0,0.12399420142173767,0.4247032701969147,0.650436520576477,fold 0
23748.png,Bonafide,0,none,0,0.04227626696228981,0.1538630872964859,0.47959277033805847,fold 0
23791.png,Bonafide,0,none,0,0.3475990295410156,0.8409189581871033,0.934287965297699,fold 0
23835.png,Bonafide,0,none,0,0.015657911077141762,0.05881134048104286,0.1486780047416687,fold 0
23904.png,Bonafide,0,none,0,0.2245708853006363,0.5528866648674011,0.8067672252655029,fold 0
23905.png,Bonafide,0,none,0,0.12546013295650482,0.35766658186912537,0.9235077500343323,fold 0
23993.png,Bonafide,0,none,0,0.0540318563580513,0.16831117868423462,0.35488858819007874,fold 0
24044.png,Bonafide,0,none,0,0.14437870681285858,0.5184048414230347,0.88639235496521,fold 0
24098.png,Bonafide,0,none,0,0.04678688198328018,0.16373366117477417,0.3672601282596588,fold 0
24104.png,Bonafide,0,none,0,0.10015261173248291,0.3759493827819824,0.9373706579208374,fold 0
24107.png,Bonafide,0,none,0,0.1324639916419983,0.4538038969039917,0.9480762481689453,fold 0
24156.png,Bonafide,0,none,0,0.08044952899217606,0.29913759231567383,0.8379030823707581,fold 0
24182.png,Bonafide,0,none,0,0.06710413098335266,0.24399222433567047,0.6854979991912842,fold 0
24371.png,Bonafide,0,none,0,0.06712529063224792,0.23571249842643738,0.48116791248321533,fold 0
24467.png,Bonafide,0,none,0,0.08475485444068909,0.3092895746231079,0.9928440451622009,fold 0
24478.png,Bonafide,0,none,0,0.14371681213378906,0.4435528516769409,0.7248190641403198,fold 0
24593.png,Bonafide,0,none,0,0.2197367548942566,0.7311362624168396,0.978398323059082,fold 0
24658.png,Bonafide,0,none,0,0.09773053973913193,0.3535558879375458,0.9544339776039124,fold 0
24659.png,Bonafide,0,none,0,0.17839062213897705,0.5053375363349915,0.7289324402809143,fold 0
24668.png,Bonafide,0,none,0,0.024449508637189865,0.08399418741464615,0.2786271274089813,fold 0
24802.png,Bonafide,0,none,0,0.05489332973957062,0.17769755423069,0.3334020674228668,fold 0
24902.png,Bonafide,0,none,0,0.12279459089040756,0.3764912784099579,0.5400514006614685,fold 0
25000.png,Bonafide,0,none,0,0.09188202023506165,0.3201351761817932,0.6833081841468811,fold 0
25119.png,Bonafide,0,none,0,0.17218048870563507,0.514957845211029,0.8984582424163818,fold 0
25148.png,Bonafide,0,none,0,0.02245999127626419,0.08540621399879456,0.541148841381073,fold 0
25170.png,Bonafide,0,none,0,0.05251731723546982,0.1746433526277542,0.29576951265335083,fold 0
25225.png,Bonafide,0,none,0,0.015789907425642014,0.05147591605782509,0.10196702182292938,fold 0
25320.png,Bonafide,0,none,0,0.014713209122419357,0.04203415289521217,0.06812756508588791,fold 0
25493.png,Bonafide,0,none,0,0.0997505858540535,0.3345516622066498,0.6923397779464722,fold 0
25527.png,Bonafide,0,none,0,0.04495434835553169,0.15388059616088867,0.3452501893043518,fold 0
25574.png,Bonafide,0,none,0,0.16574813425540924,0.522301971912384,0.7626948952674866,fold 0
25583.png,Bonafide,0,none,0,0.23463599383831024,0.7485155463218689,0.9683992862701416,fold 0
25606.png,Bonafide,0,none,0,0.0420551598072052,0.14654840528964996,0.34154000878334045,fold 0
25631.png,Bonafide,0,none,0,0.07459116727113724,0.2656390368938446,0.7153205275535583,fold 0
25640.png,Bonafide,0,none,0,0.04464900493621826,0.16182929277420044,0.7028443217277527,fold 0
25642.png,Bonafide,0,none,0,0.10980357974767685,0.3619670271873474,0.5963294506072998,fold 0
25863.png,Bonafide,0,none,0,0.25132808089256287,0.7082507014274597,0.854769766330719,fold 0
26314.png,Bonafide,0,none,0,0.19715212285518646,0.5350579619407654,0.9412897825241089,fold 0
26333.png,Bonafide,0,none,0,0.03633306920528412,0.13934844732284546,0.45633623003959656,fold 0
26341.png,Bonafide,0,none,0,0.24266743659973145,0.6196047067642212,0.850686252117157,fold 0
26345.png,Bonafide,0,none,0,0.07682065665721893,0.25656765699386597,0.6282364726066589,fold 0
26348.png,Bonafide,0,none,0,0.10694572329521179,0.3112121522426605,0.5241203904151917,fold 0
26374.png,Bonafide,0,none,0,0.2513474225997925,0.6499451398849487,0.7734967470169067,fold 0
26456.png,Bonafide,0,none,0,0.06563836336135864,0.2439621239900589,0.5494162440299988,fold 0
26537.png,Bonafide,0,none,0,0.018994927406311035,0.06781671196222305,0.1637364625930786,fold 0
26734.png,Bonafide,0,none,0,0.1752881109714508,0.6103581190109253,0.8523274064064026,fold 0
26881.png,Bonafide,0,none,0,0.1702297329902649,0.49608293175697327,0.8159170746803284,fold 0
27048.png,Bonafide,0,none,0,0.07057516276836395,0.24823564291000366,0.7276502251625061,fold 0
27302.png,Bonafide,0,none,0,0.16667598485946655,0.5480889678001404,0.7788334488868713,fold 0
27330.png,Bonafide,0,none,0,0.026523716747760773,0.08902091532945633,0.20826753973960876,fold 0
27339.png,Bonafide,0,none,0,0.011014100164175034,0.03438647463917732,0.08172336220741272,fold 0
27401.png,Bonafide,0,none,0,0.11454351991415024,0.3974097967147827,0.6990647912025452,fold 0
27404.png,Bonafide,0,none,0,0.04988503083586693,0.16683533787727356,0.28751909732818604,fold 0
27588.png,Bonafide,0,none,0,0.06595982611179352,0.2199769914150238,0.3960249423980713,fold 0
27630.png,Bonafide,0,none,0,0.22217313945293427,0.7169790267944336,0.9107959866523743,fold 0
27637.png,Bonafide,0,none,0,0.048580724745988846,0.16318896412849426,0.3544919788837433,fold 0
27664.png,Bonafide,0,none,0,0.03593812882900238,0.13134530186653137,0.2549402117729187,fold 0
27699.png,Bonafide,0,none,0,0.052322372794151306,0.20722134411334991,0.8007528185844421,fold 0
27708.png,Bonafide,0,none,0,0.030496299266815186,0.09226271510124207,0.19902998208999634,fold 0
27783.png,Bonafide,0,none,0,0.09141019731760025,0.3079321086406708,0.7398014664649963,fold 0
27808.png,Bonafide,0,none,0,0.0062062498182058334,0.01958549953997135,0.09900671988725662,fold 0
27854.png,Bonafide,0,none,0,0.07388569414615631,0.2604965567588806,0.7754223346710205,fold 0
27871.png,Bonafide,0,none,0,0.037147749215364456,0.1130412146449089,0.2560771405696869,fold 0
28017.png,Bonafide,0,none,0,0.2148338407278061,0.5661731958389282,0.9079489707946777,fold 0
28046.png,Bonafide,0,none,0,0.09405601769685745,0.19998055696487427,0.25630632042884827,fold 0
00998.png,Screens,1,iPhone,0,0.7580999732017517,0.9963586330413818,0.9981371164321899,fold 0
10673.png,Screens,1,iPhone,0,0.8144307732582092,0.9939857125282288,0.9979208111763,fold 0
10881.png,Screens,1,Samsung,0,0.19948983192443848,0.5321244597434998,0.7013850212097168,fold 0
10960.png,Screens,1,Samsung,0,0.07374728471040726,0.24704164266586304,0.6137404441833496,fold 0
11130.png,Screens,1,iPhone,0,0.28303515911102295,0.6367473006248474,0.8193685412406921,fold 0
10684.png,Bonafide,0,iPhone,1,0.12250903993844986,0.4126911759376526,0.8566339612007141,fold 1
10728.png,Bonafide,0,iPhone,1,0.024517692625522614,0.08595398813486099,0.48547735810279846,fold 1
10972.png,Bonafide,0,Samsung,1,0.31521400809288025,0.6693945527076721,0.8709854483604431,fold 1
11040.png,Bonafide,0,Samsung,1,0.0889120027422905,0.297576904296875,0.564926266670227,fold 1
11117.png,Bonafide,0,iPhone,1,0.19197741150856018,0.5415874123573303,0.7315859794616699,fold 1
11312.png,Bonafide,0,none,1,0.12144763022661209,0.3784130811691284,0.7266251444816589,fold 1
11359.png,Bonafide,0,none,1,0.038670193403959274,0.13744574785232544,0.42340877652168274,fold 1
11413.png,Bonafide,0,none,1,0.08279021829366684,0.2621466815471649,0.5474494099617004,fold 1
11634.png,Bonafide,0,none,1,0.03638651594519615,0.14281640946865082,0.5855337977409363,fold 1
11728.png,Bonafide,0,none,1,0.12143880873918533,0.36236393451690674,0.9234399795532227,fold 1
11810.png,Bonafide,0,none,1,0.1542661041021347,0.5195457935333252,0.9935497641563416,fold 1
12024.png,Bonafide,0,none,1,0.014720872044563293,0.04426474869251251,0.12022431194782257,fold 1
12122.png,Bonafide,0,none,1,0.07487671077251434,0.23241819441318512,0.5933991074562073,fold 1
12174.png,Bonafide,0,none,1,0.04775730520486832,0.15891769528388977,0.3457927405834198,fold 1
12214.png,Bonafide,0,none,1,0.22233779728412628,0.584965169429779,0.7527495622634888,fold 1
12385.png,Bonafide,0,none,1,0.04442780092358589,0.16467703878879547,0.652384340763092,fold 1
12444.png,Bonafide,0,none,1,0.05430890992283821,0.2011370062828064,0.6361702680587769,fold 1
12465.png,Bonafide,0,none,1,0.29312700033187866,0.773370087146759,0.8699231743812561,fold 1
12562.png,Bonafide,0,none,1,0.03555023670196533,0.13096585869789124,0.32796528935432434,fold 1
12605.png,Bonafide,0,none,1,0.03911687433719635,0.1489492654800415,0.40740248560905457,fold 1
12702.png,Bonafide,0,none,1,0.4546889662742615,0.7993467450141907,0.8806565999984741,fold 1
12872.png,Bonafide,0,none,1,0.16585955023765564,0.4686473608016968,0.6462851762771606,fold 1
12998.png,Bonafide,0,none,1,0.05505441129207611,0.2018897533416748,0.7393550872802734,fold 1
13152.png,Bonafide,0,none,1,0.20233406126499176,0.6040834784507751,0.8207533359527588,fold 1
13157.png,Bonafide,0,none,1,0.027251265943050385,0.08284547179937363,0.29594558477401733,fold 1
13247.png,Bonafide,0,none,1,0.07972946763038635,0.29499414563179016,0.7812037467956543,fold 1
13344.png,Bonafide,0,none,1,0.04090473800897598,0.15274375677108765,0.3095824718475342,fold 1
13345.png,Bonafide,0,none,1,0.01404543686658144,0.054328784346580505,0.27429673075675964,fold 1
13357.png,Bonafide,0,none,1,0.1320144087076187,0.42572110891342163,0.9075402021408081,fold 1
13363.png,Bonafide,0,none,1,0.08041466772556305,0.23230388760566711,0.5910170674324036,fold 1
13386.png,Bonafide,0,none,1,0.014148063026368618,0.04898899048566818,0.1834019422531128,fold 1
13461.png,Bonafide,0,none,1,0.10022392123937607,0.35642585158348083,0.8237929940223694,fold 1
13530.png,Bonafide,0,none,1,0.306372731924057,0.7406768202781677,0.8339114785194397,fold 1
13610.png,Bonafide,0,none,1,0.3410176634788513,0.7218645811080933,0.8154143691062927,fold 1
13620.png,Bonafide,0,none,1,0.15065984427928925,0.4944402873516083,0.8957950472831726,fold 1
13695.png,Bonafide,0,none,1,0.18976712226867676,0.5604045391082764,0.7355762720108032,fold 1
13753.png,Bonafide,0,none,1,0.06605368107557297,0.21641065180301666,0.38399943709373474,fold 1
14088.png,Bonafide,0,none,1,0.29929685592651367,0.690489649772644,0.78844153881073,fold 1
14407.png,Bonafide,0,none,1,0.037069134414196014,0.127781942486763,0.4302206337451935,fold 1
14512.png,Bonafide,0,none,1,0.044622499495744705,0.16548314690589905,0.7056223154067993,fold 1
14663.png,Bonafide,0,none,1,0.12949509918689728,0.43254655599594116,0.7214560508728027,fold 1
14708.png,Bonafide,0,none,1,0.06091209128499031,0.2345678061246872,0.6333227157592773,fold 1
14713.png,Bonafide,0,none,1,0.07061482220888138,0.25585806369781494,0.5320950746536255,fold 1
14723.png,Bonafide,0,none,1,0.03461872413754463,0.12694841623306274,0.351644903421402,fold 1
14921.png,Bonafide,0,none,1,0.06351438164710999,0.22845132648944855,0.4398760199546814,fold 1
14977.png,Bonafide,0,none,1,0.17856872081756592,0.4840332567691803,0.6947436332702637,fold 1
15038.png,Bonafide,0,none,1,0.05939028039574623,0.22755426168441772,0.8240296840667725,fold 1
15121.png,Bonafide,0,none,1,0.007571948692202568,0.026564501225948334,0.14389494061470032,fold 1
15132.png,Bonafide,0,none,1,0.07596009224653244,0.27382713556289673,0.6498529314994812,fold 1
15139.png,Bonafide,0,none,1,0.19584766030311584,0.5092949867248535,0.825954258441925,fold 1
15140.png,Bonafide,0,none,1,0.12091824412345886,0.30778396129608154,0.6468844413757324,fold 1
15255.png,Bonafide,0,none,1,0.12265411019325256,0.39614611864089966,0.9613251686096191,fold 1
