file,cls,label,phone,fold,score,score_top9,score_max,split
10881.png,Bonafide,0,Samsung,0,0.04165263846516609,0.12094224989414215,0.25910699367523193,"train iPhone, test Samsung"
10889.png,Bonafide,0,Samsung,3,0.09472861140966415,0.3022768497467041,0.6564385890960693,"train iPhone, test Samsung"
10954.png,Bonafide,0,Samsung,3,0.14007778465747833,0.37440577149391174,0.4742658734321594,"train iPhone, test Samsung"
10960.png,Bonafide,0,Samsung,0,0.04001494124531746,0.11396673321723938,0.23464007675647736,"train iPhone, test Samsung"
10970.png,Bonafide,0,Samsung,2,0.12082156538963318,0.34846246242523193,0.4930937886238098,"train iPhone, test Samsung"
10972.png,Bonafide,0,Samsung,1,0.2448319047689438,0.6502220630645752,0.9585552215576172,"train iPhone, test Samsung"
10992.png,Bonafide,0,Samsung,2,0.11178737133741379,0.35391363501548767,0.6376943588256836,"train iPhone, test Samsung"
11040.png,Bonafide,0,Samsung,1,0.144508495926857,0.35708343982696533,0.6106131076812744,"train iPhone, test Samsung"
11233.png,Bonafide,0,none,0,0.18985262513160706,0.484411358833313,0.8871973752975464,"train iPhone, test Samsung"
11326.png,Bonafide,0,none,0,0.02861628867685795,0.08016889542341232,0.19447438418865204,"train iPhone, test Samsung"
11358.png,Bonafide,0,none,0,0.06948927044868469,0.2385675609111786,0.44691896438598633,"train iPhone, test Samsung"
11373.png,Bonafide,0,none,3,0.17022117972373962,0.6464077830314636,0.8862864375114441,"train iPhone, test Samsung"
11413.png,Bonafide,0,none,1,0.22386209666728973,0.6174532771110535,0.8665577173233032,"train iPhone, test Samsung"
11507.png,Bonafide,0,none,0,0.20316244661808014,0.4461180865764618,0.6113600730895996,"train iPhone, test Samsung"
11541.png,Bonafide,0,none,3,0.02909235469996929,0.0930919274687767,0.3659040033817291,"train iPhone, test Samsung"
11728.png,Bonafide,0,none,1,0.11519874632358551,0.35722586512565613,0.739711344242096,"train iPhone, test Samsung"
11807.png,Bonafide,0,none,0,0.12278839945793152,0.3654175102710724,0.7414844632148743,"train iPhone, test Samsung"
11810.png,Bonafide,0,none,1,0.23812086880207062,0.6565190553665161,0.9948434829711914,"train iPhone, test Samsung"
12188.png,Bonafide,0,none,2,0.22207967936992645,0.6097951531410217,0.9350425601005554,"train iPhone, test Samsung"
12207.png,Bonafide,0,none,0,0.09766248613595963,0.29224932193756104,0.6360594034194946,"train iPhone, test Samsung"
12214.png,Bonafide,0,none,1,0.23057471215724945,0.5687096118927002,0.8284026980400085,"train iPhone, test Samsung"
12461.png,Bonafide,0,none,3,0.04939107596874237,0.16376571357250214,0.43653687834739685,"train iPhone, test Samsung"
12465.png,Bonafide,0,none,1,0.26704296469688416,0.8108906745910645,0.940807044506073,"train iPhone, test Samsung"
12714.png,Bonafide,0,none,0,0.08694738149642944,0.2633715271949768,0.4760414958000183,"train iPhone, test Samsung"
12994.png,Bonafide,0,none,0,0.08497834950685501,0.2663246989250183,0.8504158854484558,"train iPhone, test Samsung"
13386.png,Bonafide,0,none,1,0.022288814187049866,0.06708517670631409,0.13815385103225708,"train iPhone, test Samsung"
13396.png,Bonafide,0,none,0,0.09137275069952011,0.28540652990341187,0.43369534611701965,"train iPhone, test Samsung"
13461.png,Bonafide,0,none,1,0.03755293786525726,0.13359449803829193,0.317533940076828,"train iPhone, test Samsung"
13497.png,Bonafide,0,none,2,0.17828728258609772,0.5010169148445129,0.8484444618225098,"train iPhone, test Samsung"
13583.png,Bonafide,0,none,3,0.17503231763839722,0.3947875201702118,0.6793345212936401,"train iPhone, test Samsung"
13610.png,Bonafide,0,none,1,0.30093732476234436,0.63636314868927,0.8090106248855591,"train iPhone, test Samsung"
13715.png,Bonafide,0,none,0,0.029916200786828995,0.09998933225870132,0.4551403522491455,"train iPhone, test Samsung"
13777.png,Bonafide,0,none,2,0.11052247881889343,0.34861406683921814,0.6430040001869202,"train iPhone, test Samsung"
13999.png,Bonafide,0,none,3,0.13250820338726044,0.3565017282962799,0.714176595211029,"train iPhone, test Samsung"
